step,suceptible_status,infected_status,recovered_status,vaccinated_status
4309,0,640,204,0
4310,0,640,204,0
4311,0,639,205,0
4312,0,640,204,0
4313,0,639,205,0
4314,0,635,209,0
4315,0,637,207,0
4316,0,637,207,0
4317,0,637,207,0
4318,0,637,207,0
4319,0,635,209,0
4320,0,634,210,0
4321,0,636,208,0
4322,0,637,207,0
4323,0,638,206,0
4324,0,639,204,0
4325,0,638,205,0
4326,0,638,205,0
4327,0,636,207,0
4328,0,635,208,0
4329,0,635,208,0
4330,0,636,207,0
4331,0,635,208,0
4332,0,635,208,0
4333,0,638,205,0
4334,0,639,204,0
4335,0,638,205,0
4336,0,637,206,0
4337,0,638,205,0
4338,0,634,209,0
4339,0,633,210,0
4340,0,632,211,0
4341,0,631,212,0
4342,0,633,210,0
4343,0,636,207,0
4344,0,636,207,0
4345,0,636,207,0
4346,0,636,207,0
4347,0,635,208,0
4348,0,637,206,0
4349,0,637,206,0
4350,0,638,205,0
4351,0,637,206,0
4352,0,637,206,0
4353,0,637,206,0
4354,0,637,206,0
4355,0,636,207,0
4356,0,636,207,0
4357,0,636,207,0
4358,0,633,210,0
4359,0,632,211,0
4360,0,632,211,0
4361,0,635,208,0
4362,0,637,206,0
4363,0,637,206,0
4364,0,637,206,0
4365,0,634,208,0
4366,0,634,208,0
4367,0,634,208,0
4368,0,635,207,0
4369,0,633,209,0
4370,0,634,208,0
4371,0,635,207,0
4372,0,635,206,0
4373,0,636,205,0
4374,0,636,205,0
4375,0,635,206,0
4376,0,635,206,0
4377,0,635,206,0
4378,0,636,205,0
4379,0,636,205,0
4380,0,635,206,0
4381,0,635,206,0
4382,0,634,207,0
4383,0,633,208,0
4384,0,633,208,0
4385,0,634,207,0
4386,0,636,205,0
4387,0,634,207,0
4388,0,633,208,0
4389,0,632,209,0
4390,0,636,205,0
4391,0,637,204,0
4392,0,637,204,0
4393,0,635,206,0
4394,0,635,206,0
4395,0,636,205,0
4396,0,636,205,0
4397,0,635,206,0
4398,0,636,205,0
4399,0,635,206,0
4400,0,636,205,0
4401,0,638,203,0
4402,0,638,203,0
4403,0,637,204,0
4404,0,639,202,0
4405,0,638,203,0
4406,0,636,205,0
4407,0,637,204,0
4408,0,638,203,0
4409,0,638,203,0
4410,0,637,204,0
4411,0,636,205,0
4412,0,635,206,0
4413,0,630,211,0
4414,0,632,209,0
4415,0,632,209,0
4416,0,632,209,0
4417,0,632,209,0
4418,0,632,209,0
4419,0,631,210,0
4420,0,631,210,0
4421,0,633,208,0
4422,0,633,208,0
4423,0,633,208,0
4424,0,632,209,0
4425,0,630,211,0
4426,0,629,212,0
4427,0,631,210,0
4428,0,632,209,0
4429,0,633,208,0
4430,0,633,208,0
4431,0,632,209,0
4432,0,632,209,0
4433,0,633,208,0
4434,0,634,207,0
4435,0,634,207,0
4436,0,635,206,0
4437,0,636,204,0
4438,0,635,205,0
4439,0,633,207,0
4440,0,632,208,0
4441,0,632,208,0
4442,0,632,208,0
4443,0,633,207,0
4444,0,634,206,0
4445,0,634,206,0
4446,0,634,206,0
4447,0,633,207,0
4448,0,633,207,0
4449,0,633,207,0
4450,0,634,206,0
4451,0,636,204,0
4452,0,635,205,0
4453,0,635,205,0
4454,0,634,206,0
4455,0,633,207,0
4456,0,631,209,0
4457,0,632,208,0
4458,0,631,209,0
4459,0,629,211,0
4460,0,630,210,0
4461,0,631,209,0
4462,0,630,210,0
4463,0,631,209,0
4464,0,632,208,0
4465,0,633,207,0
4466,0,633,207,0
4467,0,630,210,0
4468,0,630,210,0
4469,0,630,210,0
4470,0,628,212,0
4471,0,627,213,0
4472,0,626,214,0
4473,0,625,214,0
4474,0,625,214,0
4475,0,624,215,0
4476,0,624,215,0
4477,0,622,217,0
4478,0,622,216,0
4479,0,626,212,0
4480,0,622,215,0
4481,0,625,212,0
4482,0,627,210,0
4483,0,629,208,0
4484,0,627,210,0
4485,0,628,209,0
4486,0,628,209,0
4487,0,629,208,0
4488,0,629,208,0
4489,0,628,209,0
4490,0,628,209,0
4491,0,630,207,0
4492,0,631,206,0
4493,0,631,206,0
4494,0,631,206,0
4495,0,631,206,0
4496,0,627,210,0
4497,0,626,211,0
4498,0,626,211,0
4499,0,626,211,0
4500,0,626,211,0
4501,0,626,211,0
4502,0,627,210,0
4503,0,627,210,0
4504,0,626,211,0
4505,0,624,213,0
4506,0,627,210,0
4507,0,627,210,0
4508,0,627,210,0
4509,0,630,207,0
4510,0,628,209,0
4511,0,627,210,0
4512,0,628,209,0
4513,0,627,210,0
4514,0,627,210,0
4515,0,626,211,0
4516,0,626,211,0
4517,0,626,211,0
4518,0,628,209,0
4519,0,628,209,0
4520,0,626,211,0
4521,0,627,210,0
4522,0,625,212,0
4523,0,625,212,0
4524,0,624,213,0
4525,0,625,212,0
4526,0,624,213,0
4527,0,624,213,0
4528,0,623,214,0
4529,0,624,213,0
4530,0,626,211,0
4531,0,627,210,0
4532,0,627,210,0
4533,0,626,211,0
4534,0,626,211,0
4535,0,629,208,0
4536,0,629,208,0
4537,0,629,208,0
4538,0,629,208,0
4539,0,631,206,0
4540,0,631,206,0
4541,0,629,208,0
4542,0,628,209,0
4543,0,627,210,0
4544,0,627,210,0
4545,0,626,211,0
4546,0,625,212,0
4547,0,627,210,0
4548,0,627,210,0
4549,0,626,211,0
4550,0,627,210,0
4551,0,626,211,0
4552,0,625,211,0
4553,0,625,211,0
4554,0,624,212,0
4555,0,625,211,0
4556,0,623,213,0
4557,0,623,213,0
4558,0,624,212,0
4559,0,625,211,0
4560,0,624,212,0
4561,0,623,213,0
4562,0,622,214,0
4563,0,622,214,0
4564,0,623,213,0
4565,0,623,213,0
4566,0,625,211,0
4567,0,624,212,0
4568,0,624,212,0
4569,0,625,211,0
4570,0,625,211,0
4571,0,625,211,0
4572,0,624,212,0
4573,0,625,211,0
4574,0,625,211,0
4575,0,625,211,0
4576,0,625,211,0
4577,0,625,211,0
4578,0,625,211,0
4579,0,626,210,0
4580,0,624,212,0
4581,0,626,210,0
4582,0,627,209,0
4583,0,628,208,0
4584,0,629,207,0
4585,0,629,207,0
4586,0,629,207,0
4587,0,629,207,0
4588,0,630,206,0
4589,0,629,207,0
4590,0,630,206,0
4591,0,631,205,0
4592,0,632,204,0
4593,0,631,205,0
4594,0,631,205,0
4595,0,628,208,0
4596,0,629,207,0
4597,0,630,206,0
4598,0,628,208,0
4599,0,627,209,0
4600,0,628,208,0
4601,0,628,208,0
4602,0,626,210,0
4603,0,624,212,0
4604,0,624,212,0
4605,0,623,213,0
4606,0,623,213,0
4607,0,621,215,0
4608,0,621,215,0
4609,0,624,212,0
4610,0,624,212,0
4611,0,622,214,0
4612,0,624,212,0
4613,0,623,213,0
4614,0,624,212,0
4615,0,622,214,0
4616,0,623,213,0
4617,0,623,213,0
4618,0,623,213,0
4619,0,624,212,0
4620,0,626,210,0
4621,0,626,210,0
4622,0,625,211,0
4623,0,624,212,0
4624,0,623,213,0
4625,0,623,213,0
4626,0,623,213,0
4627,0,623,213,0
4628,0,622,214,0
4629,0,623,213,0
4630,0,622,214,0
4631,0,621,215,0
4632,0,621,215,0
4633,0,620,216,0
4634,0,620,216,0
4635,0,619,217,0
4636,0,618,218,0
4637,0,618,218,0
4638,0,617,219,0
4639,0,616,220,0
4640,0,615,220,0
4641,0,615,220,0
4642,0,615,220,0
4643,0,616,219,0
4644,0,615,220,0
4645,0,613,221,0
4646,0,611,223,0
4647,0,611,223,0
4648,0,611,223,0
4649,0,610,224,0
4650,0,609,225,0
4651,0,611,223,0
4652,0,613,221,0
4653,0,614,220,0
4654,0,615,219,0
4655,0,617,217,0
4656,0,617,217,0
4657,0,617,217,0
4658,0,618,216,0
4659,0,619,215,0
4660,0,618,216,0
4661,0,617,217,0
4662,0,616,218,0
4663,0,617,217,0
4664,0,617,217,0
4665,0,617,217,0
4666,0,616,218,0
4667,0,616,218,0
4668,0,615,219,0
4669,0,615,219,0
4670,0,616,218,0
4671,0,614,220,0
4672,0,615,219,0
4673,0,615,219,0
4674,0,616,218,0
4675,0,615,219,0
4676,0,613,221,0
4677,0,613,221,0
4678,0,613,221,0
4679,0,613,221,0
4680,0,613,221,0
4681,0,615,219,0
4682,0,618,216,0
4683,0,618,216,0
4684,0,617,217,0
4685,0,617,217,0
4686,0,616,218,0
4687,0,615,219,0
4688,0,615,219,0
4689,0,617,217,0
4690,0,617,217,0
4691,0,617,217,0
4692,0,617,217,0
4693,0,618,216,0
4694,0,618,216,0
4695,0,618,216,0
4696,0,615,219,0
4697,0,613,221,0
4698,0,612,222,0
4699,0,608,226,0
4700,0,609,225,0
4701,0,610,224,0
4702,0,610,224,0
4703,0,608,226,0
4704,0,609,225,0
4705,0,610,224,0
4706,0,612,222,0
4707,0,613,221,0
4708,0,614,220,0
4709,0,615,219,0
4710,0,616,218,0
4711,0,616,218,0
4712,0,616,218,0
4713,0,618,216,0
4714,0,616,218,0
4715,0,615,219,0
4716,0,615,219,0
4717,0,616,218,0
4718,0,616,218,0
4719,0,617,217,0
4720,0,616,218,0
4721,0,617,217,0
4722,0,617,217,0
4723,0,620,214,0
4724,0,621,213,0
4725,0,620,214,0
4726,0,621,212,0
4727,0,621,212,0
4728,0,620,213,0
4729,0,619,214,0
4730,0,620,213,0
4731,0,617,216,0
4732,0,615,218,0
4733,0,616,217,0
4734,0,615,218,0
4735,0,614,219,0
4736,0,613,220,0
4737,0,613,220,0
4738,0,612,221,0
4739,0,611,222,0
4740,0,611,222,0
4741,0,611,222,0
4742,0,614,219,0
4743,0,613,220,0
4744,0,614,219,0
4745,0,614,219,0
4746,0,614,219,0
4747,0,614,219,0
4748,0,614,218,0
4749,0,615,217,0
4750,0,616,216,0
4751,0,615,216,0
4752,0,611,220,0
4753,0,610,221,0
4754,0,614,217,0
4755,0,614,217,0
4756,0,614,217,0
4757,0,614,217,0
4758,0,611,220,0
4759,0,610,221,0
4760,0,610,221,0
4761,0,612,219,0
4762,0,614,217,0
4763,0,616,215,0
4764,0,616,215,0
4765,0,618,213,0
4766,0,618,213,0
4767,0,618,213,0
4768,0,619,212,0
4769,0,621,210,0
4770,0,619,212,0
4771,0,619,212,0
4772,0,619,212,0
4773,0,618,213,0
4774,0,617,214,0
4775,0,616,215,0
4776,0,616,215,0
4777,0,615,216,0
4778,0,612,219,0
4779,0,612,219,0
4780,0,612,219,0
4781,0,612,219,0
4782,0,611,220,0
4783,0,611,220,0
4784,0,613,218,0
4785,0,614,217,0
4786,0,615,216,0
4787,0,616,215,0
4788,0,618,213,0
4789,0,621,210,0
4790,0,621,210,0
4791,0,622,209,0
4792,0,622,209,0
4793,0,621,210,0
4794,0,620,211,0
4795,0,621,210,0
4796,0,625,206,0
4797,0,624,207,0
4798,0,624,207,0
4799,0,623,208,0
4800,0,622,209,0
4801,0,621,210,0
4802,0,621,210,0
4803,0,621,210,0
4804,0,621,210,0
4805,0,620,211,0
4806,0,622,209,0
4807,0,621,210,0
4808,0,621,210,0
4809,0,619,212,0
4810,0,618,213,0
4811,0,619,212,0
4812,0,618,213,0
4813,0,620,211,0
4814,0,621,210,0
4815,0,622,209,0
4816,0,621,210,0
4817,0,621,210,0
4818,0,620,211,0
4819,0,620,211,0
4820,0,618,213,0
4821,0,618,213,0
4822,0,616,215,0
4823,0,616,215,0
4824,0,616,215,0
4825,0,617,214,0
4826,0,618,213,0
4827,0,618,213,0
4828,0,618,213,0
4829,0,619,212,0
4830,0,618,213,0
4831,0,620,211,0
4832,0,621,210,0
4833,0,621,210,0
4834,0,620,211,0
4835,0,622,209,0
4836,0,623,208,0
4837,0,624,207,0
4838,0,622,209,0
4839,0,620,211,0
4840,0,620,211,0
4841,0,623,208,0
4842,0,622,209,0
4843,0,623,208,0
4844,0,622,209,0
4845,0,622,209,0
4846,0,622,209,0
4847,0,624,207,0
4848,0,625,206,0
4849,0,624,207,0
4850,0,624,207,0
4851,0,624,207,0
4852,0,623,208,0
4853,0,623,208,0
4854,0,622,208,0
4855,0,622,208,0
4856,0,621,209,0
4857,0,623,207,0
4858,0,624,206,0
4859,0,625,205,0
4860,0,625,205,0
4861,0,626,204,0
4862,0,626,204,0
4863,0,628,202,0
4864,0,628,202,0
4865,0,629,201,0
4866,0,629,201,0
4867,0,631,199,0
4868,0,627,203,0
4869,0,627,203,0
4870,0,627,203,0
4871,0,629,201,0
4872,0,631,199,0
4873,0,632,198,0
4874,0,633,197,0
4875,0,633,197,0
4876,0,635,195,0
4877,0,635,195,0
4878,0,635,195,0
4879,0,637,193,0
4880,0,638,192,0
4881,0,639,191,0
4882,0,640,190,0
4883,0,640,190,0
4884,0,639,191,0
4885,0,640,190,0
4886,0,641,189,0
4887,0,642,188,0
4888,0,642,188,0
4889,0,641,189,0
4890,0,641,189,0
4891,0,640,190,0
4892,0,642,188,0
4893,0,642,188,0
4894,0,641,189,0
4895,0,643,187,0
4896,0,643,187,0
4897,0,642,188,0
4898,0,643,187,0
4899,0,642,188,0
4900,0,640,190,0
4901,0,640,190,0
4902,0,639,191,0
4903,0,639,191,0
4904,0,636,194,0
4905,0,635,195,0
4906,0,633,197,0
4907,0,632,197,0
4908,0,631,198,0
4909,0,633,196,0
4910,0,635,194,0
4911,0,636,193,0
4912,0,637,192,0
4913,0,637,192,0
4914,0,637,191,0
4915,0,636,192,0
4916,0,636,192,0
4917,0,637,191,0
4918,0,637,191,0
4919,0,639,189,0
4920,0,639,189,0
4921,0,640,188,0
4922,0,641,187,0
4923,0,641,187,0
4924,0,640,188,0
4925,0,640,188,0
4926,0,639,189,0
4927,0,639,189,0
4928,0,639,189,0
4929,0,638,190,0
4930,0,637,191,0
4931,0,638,190,0
4932,0,637,191,0
4933,0,636,191,0
4934,0,636,191,0
4935,0,636,191,0
4936,0,633,194,0
4937,0,633,194,0
4938,0,631,196,0
4939,0,631,196,0
4940,0,631,196,0
4941,0,631,196,0
4942,0,632,195,0
4943,0,633,194,0
4944,0,631,196,0
4945,0,632,195,0
4946,0,632,195,0
4947,0,631,196,0
4948,0,631,196,0
4949,0,630,197,0
4950,0,631,196,0
4951,0,631,196,0
4952,0,631,195,0
4953,0,631,195,0
4954,0,630,196,0
4955,0,630,196,0
4956,0,629,197,0
4957,0,629,197,0
4958,0,629,197,0
4959,0,632,194,0
4960,0,630,196,0
4961,0,628,198,0
4962,0,626,200,0
4963,0,626,200,0
4964,0,626,200,0
4965,0,625,201,0
4966,0,626,200,0
4967,0,624,201,0
4968,0,625,200,0
4969,0,624,201,0
4970,0,626,199,0
4971,0,626,199,0
4972,0,627,198,0
4973,0,626,199,0
4974,0,629,196,0
4975,0,628,197,0
4976,0,627,198,0
4977,0,626,199,0
4978,0,627,198,0
4979,0,626,199,0
4980,0,625,200,0
4981,0,626,199,0
4982,0,626,199,0
4983,0,627,198,0
4984,0,625,200,0
4985,0,625,200,0
4986,0,623,202,0
4987,0,622,203,0
4988,0,621,204,0
4989,0,620,205,0
4990,0,618,207,0
4991,0,619,205,0
4992,0,617,207,0
4993,0,617,207,0
4994,0,616,208,0
4995,0,614,210,0
4996,0,614,210,0
4997,0,612,212,0
4998,0,611,213,0
4999,0,612,212,0
5000,0,612,212,0
5001,0,614,210,0
5002,0,614,210,0
5003,0,613,211,0
5004,0,610,214,0
5005,0,610,214,0
5006,0,610,214,0
5007,0,608,216,0
5008,0,608,216,0
5009,0,608,216,0
5010,0,607,217,0
5011,0,607,217,0
5012,0,607,217,0
5013,0,609,215,0
5014,0,609,215,0
5015,0,612,212,0
5016,0,613,211,0
5017,0,614,210,0
5018,0,614,210,0
5019,0,613,211,0
5020,0,611,213,0
5021,0,613,211,0
5022,0,613,211,0
5023,0,615,209,0
5024,0,613,211,0
5025,0,614,210,0
5026,0,614,210,0
5027,0,613,211,0
5028,0,612,212,0
5029,0,611,213,0
5030,0,613,211,0
5031,0,615,209,0
5032,0,614,210,0
5033,0,616,208,0
5034,0,616,208,0
5035,0,616,208,0
5036,0,615,209,0
5037,0,614,210,0
5038,0,614,210,0
5039,0,617,207,0
5040,0,615,209,0
5041,0,615,208,0
5042,0,615,208,0
5043,0,614,209,0
5044,0,612,211,0
5045,0,613,210,0
5046,0,613,210,0
5047,0,614,209,0
5048,0,617,206,0
5049,0,617,206,0
5050,0,617,206,0
5051,0,616,207,0
5052,0,618,205,0
5053,0,616,207,0
5054,0,616,207,0
5055,0,617,206,0
5056,0,617,206,0
5057,0,616,207,0
5058,0,616,207,0
5059,0,617,206,0
5060,0,617,206,0
5061,0,617,206,0
5062,0,616,207,0
5063,0,615,208,0
5064,0,615,208,0
5065,0,615,208,0
5066,0,614,209,0
5067,0,617,206,0
5068,0,617,206,0
5069,0,618,205,0
5070,0,619,204,0
5071,0,619,204,0
5072,0,619,204,0
5073,0,619,204,0
5074,0,618,205,0
5075,0,620,203,0
5076,0,622,201,0
5077,0,622,201,0
5078,0,621,202,0
5079,0,620,203,0
5080,0,622,201,0
5081,0,620,203,0
5082,0,619,204,0
5083,0,621,202,0
5084,0,621,202,0
5085,0,621,202,0
5086,0,624,199,0
5087,0,622,201,0
5088,0,621,202,0
5089,0,621,202,0
5090,0,619,204,0
5091,0,619,204,0
5092,0,618,205,0
5093,0,617,206,0
5094,0,617,206,0
5095,0,617,206,0
5096,0,618,205,0
5097,0,619,204,0
5098,0,618,205,0
5099,0,618,205,0
5100,0,618,205,0
5101,0,618,205,0
5102,0,618,205,0
5103,0,618,205,0
5104,0,618,205,0
5105,0,618,205,0
5106,0,616,207,0
5107,0,616,207,0
5108,0,617,206,0
5109,0,618,205,0
5110,0,615,208,0
5111,0,613,209,0
5112,0,613,209,0
5113,0,613,209,0
5114,0,612,210,0
5115,0,611,211,0
5116,0,611,211,0
5117,0,611,211,0
5118,0,611,211,0
5119,0,611,211,0
5120,0,611,211,0
5121,0,611,211,0
5122,0,611,211,0
5123,0,613,209,0
5124,0,612,210,0
5125,0,612,210,0
5126,0,612,210,0
5127,0,613,208,0
5128,0,611,210,0
5129,0,612,209,0
5130,0,611,210,0
5131,0,611,210,0
5132,0,611,210,0
5133,0,610,211,0
5134,0,610,211,0
5135,0,610,211,0
5136,0,610,211,0
5137,0,609,212,0
5138,0,609,212,0
5139,0,609,212,0
5140,0,609,212,0
5141,0,609,212,0
5142,0,608,213,0
5143,0,608,213,0
5144,0,608,213,0
5145,0,608,213,0
5146,0,610,211,0
5147,0,609,212,0
5148,0,610,211,0
5149,0,608,213,0
5150,0,609,212,0
5151,0,608,213,0
5152,0,610,211,0
5153,0,609,212,0
5154,0,607,214,0
5155,0,606,215,0
5156,0,606,215,0
5157,0,605,216,0
5158,0,606,215,0
5159,0,606,215,0
5160,0,606,215,0
5161,0,605,216,0
5162,0,605,216,0
5163,0,604,217,0
5164,0,603,218,0
5165,0,603,218,0
5166,0,604,217,0
5167,0,603,218,0
5168,0,604,217,0
5169,0,603,218,0
5170,0,604,217,0
5171,0,604,217,0
5172,0,604,217,0
5173,0,604,217,0
5174,0,604,217,0
5175,0,604,217,0
5176,0,604,217,0
5177,0,605,216,0
5178,0,605,216,0
5179,0,605,216,0
5180,0,603,218,0
5181,0,603,218,0
5182,0,604,217,0
5183,0,604,217,0
5184,0,602,218,0
5185,0,602,218,0
5186,0,602,217,0
5187,0,603,216,0
5188,0,601,218,0
5189,0,603,216,0
5190,0,603,216,0
5191,0,603,216,0
5192,0,603,216,0
5193,0,601,218,0
5194,0,602,217,0
5195,0,602,217,0
5196,0,602,217,0
5197,0,602,217,0
5198,0,601,218,0
5199,0,597,222,0
5200,0,599,220,0
5201,0,596,223,0
5202,0,595,224,0
5203,0,596,223,0
5204,0,596,223,0
5205,0,598,221,0
5206,0,598,221,0
5207,0,600,218,0
5208,0,600,218,0
5209,0,598,220,0
5210,0,599,219,0
5211,0,595,223,0
5212,0,595,223,0
5213,0,597,221,0
5214,0,598,220,0
5215,0,599,219,0
5216,0,599,219,0
5217,0,599,219,0
5218,0,600,218,0
5219,0,599,219,0
5220,0,603,215,0
5221,0,602,216,0
5222,0,601,217,0
5223,0,600,218,0
5224,0,599,219,0
5225,0,599,219,0
5226,0,595,222,0
5227,0,595,221,0
5228,0,595,221,0
5229,0,592,224,0
5230,0,592,224,0
5231,0,594,222,0
5232,0,593,223,0
5233,0,593,223,0
5234,0,596,220,0
5235,0,597,219,0
5236,0,597,219,0
5237,0,599,217,0
5238,0,597,219,0
5239,0,596,219,0
5240,0,599,216,0
5241,0,596,219,0
5242,0,596,219,0
5243,0,597,218,0
5244,0,598,217,0
5245,0,597,218,0
5246,0,598,217,0
5247,0,599,216,0
5248,0,601,214,0
5249,0,600,215,0
5250,0,597,218,0
5251,0,596,219,0
5252,0,596,219,0
5253,0,596,219,0
5254,0,596,219,0
5255,0,595,220,0
5256,0,595,220,0
5257,0,595,220,0
5258,0,598,217,0
5259,0,597,218,0
5260,0,597,218,0
5261,0,597,218,0
5262,0,595,220,0
5263,0,596,219,0
5264,0,597,218,0
5265,0,598,217,0
5266,0,598,217,0
5267,0,597,218,0
5268,0,599,216,0
5269,0,600,215,0
5270,0,600,215,0
5271,0,601,214,0
5272,0,600,215,0
5273,0,600,215,0
5274,0,599,216,0
5275,0,597,218,0
5276,0,599,216,0
5277,0,601,214,0
5278,0,600,215,0
5279,0,599,216,0
5280,0,599,216,0
5281,0,601,214,0
5282,0,601,214,0
5283,0,602,213,0
5284,0,600,215,0
5285,0,601,214,0
5286,0,601,214,0
5287,0,601,214,0
5288,0,600,215,0
5289,0,600,215,0
5290,0,599,216,0
5291,0,599,216,0
5292,0,598,217,0
5293,0,597,218,0
5294,0,596,219,0
5295,0,596,219,0
5296,0,595,220,0
5297,0,593,222,0
5298,0,593,222,0
5299,0,593,222,0
5300,0,593,222,0
5301,0,593,222,0
5302,0,592,223,0
5303,0,591,224,0
5304,0,592,223,0
5305,0,593,222,0
5306,0,593,222,0
5307,0,595,220,0
5308,0,594,221,0
5309,0,594,221,0
5310,0,594,221,0
5311,0,595,220,0
5312,0,594,221,0
5313,0,594,221,0
5314,0,596,219,0
5315,0,596,219,0
5316,0,595,220,0
5317,0,596,219,0
5318,0,598,217,0
5319,0,598,217,0
5320,0,599,216,0
5321,0,596,219,0
5322,0,596,219,0
5323,0,596,219,0
5324,0,598,217,0
5325,0,598,217,0
5326,0,599,216,0
5327,0,601,214,0
5328,0,601,214,0
5329,0,598,217,0
5330,0,597,218,0
5331,0,597,218,0
5332,0,595,220,0
5333,0,595,220,0
5334,0,595,220,0
5335,0,594,221,0
5336,0,597,218,0
5337,0,598,217,0
5338,0,598,217,0
5339,0,597,217,0
5340,0,595,219,0
5341,0,594,220,0
5342,0,593,221,0
5343,0,593,221,0
5344,0,594,220,0
5345,0,595,219,0
5346,0,598,216,0
5347,0,600,214,0
5348,0,603,211,0
5349,0,601,213,0
5350,0,599,215,0
5351,0,600,214,0
5352,0,599,215,0
5353,0,599,215,0
5354,0,600,214,0
5355,0,602,212,0
5356,0,604,210,0
5357,0,604,210,0
5358,0,603,211,0
5359,0,604,210,0
5360,0,605,209,0
5361,0,605,209,0
5362,0,606,208,0
5363,0,606,208,0
5364,0,607,207,0
5365,0,608,206,0
5366,0,608,206,0
5367,0,608,206,0
5368,0,608,206,0
5369,0,609,205,0
5370,0,609,205,0
5371,0,608,206,0
5372,0,607,207,0
5373,0,606,208,0
5374,0,604,210,0
5375,0,602,212,0
5376,0,603,211,0
5377,0,602,212,0
5378,0,603,211,0
5379,0,602,212,0
5380,0,601,213,0
5381,0,601,213,0
5382,0,601,213,0
5383,0,601,213,0
5384,0,603,211,0
5385,0,603,211,0
5386,0,606,208,0
5387,0,604,210,0
5388,0,604,209,0
5389,0,604,209,0
5390,0,604,209,0
5391,0,603,210,0
5392,0,602,211,0
5393,0,602,211,0
5394,0,602,211,0
5395,0,603,210,0
5396,0,605,208,0
5397,0,606,207,0
5398,0,604,209,0
5399,0,603,210,0
5400,0,603,210,0
5401,0,603,210,0
5402,0,600,213,0
5403,0,601,211,0
5404,0,601,211,0
5405,0,601,211,0
5406,0,602,210,0
5407,0,603,209,0
5408,0,603,209,0
5409,0,601,210,0
5410,0,600,211,0
5411,0,600,211,0
5412,0,603,208,0
5413,0,602,209,0
5414,0,601,210,0
5415,0,607,204,0
5416,0,608,203,0
5417,0,609,202,0
5418,0,610,201,0
5419,0,610,201,0
5420,0,609,202,0
5421,0,608,203,0
5422,0,608,203,0
5423,0,609,202,0
5424,0,607,204,0
5425,0,607,204,0
5426,0,606,205,0
5427,0,605,206,0
5428,0,604,207,0
5429,0,603,208,0
5430,0,601,210,0
5431,0,600,211,0
5432,0,601,210,0
5433,0,599,212,0
5434,0,599,212,0
5435,0,598,213,0
5436,0,600,211,0
5437,0,600,211,0
5438,0,602,209,0
5439,0,603,208,0
5440,0,602,209,0
5441,0,601,210,0
5442,0,603,208,0
5443,0,600,211,0
5444,0,600,211,0
5445,0,602,209,0
5446,0,601,210,0
5447,0,602,209,0
5448,0,603,208,0
5449,0,601,210,0
5450,0,600,211,0
5451,0,600,211,0
5452,0,601,209,0
5453,0,601,209,0
5454,0,600,210,0
5455,0,601,209,0
5456,0,603,207,0
5457,0,604,206,0
5458,0,604,206,0
5459,0,607,203,0
5460,0,607,203,0
5461,0,609,201,0
5462,0,606,204,0
5463,0,606,204,0
5464,0,605,205,0
5465,0,604,205,0
5466,0,603,206,0
5467,0,603,206,0
5468,0,601,208,0
5469,0,599,210,0
5470,0,598,211,0
5471,0,598,211,0
5472,0,598,211,0
5473,0,598,211,0
5474,0,594,215,0
5475,0,594,215,0
5476,0,593,216,0
5477,0,592,217,0
5478,0,596,213,0
5479,0,596,213,0
5480,0,597,212,0
5481,0,598,211,0
5482,0,597,212,0
5483,0,595,214,0
5484,0,595,214,0
5485,0,595,214,0
5486,0,595,214,0
5487,0,594,215,0
5488,0,593,216,0
5489,0,594,214,0
5490,0,595,213,0
5491,0,596,212,0
5492,0,597,211,0
5493,0,597,211,0
5494,0,597,211,0
5495,0,597,211,0
5496,0,599,209,0
5497,0,599,209,0
5498,0,605,203,0
5499,0,605,203,0
5500,0,607,201,0
5501,0,607,201,0
5502,0,608,200,0
5503,0,609,199,0
5504,0,609,199,0
5505,0,609,199,0
5506,0,608,200,0
5507,0,607,201,0
5508,0,605,203,0
5509,0,602,206,0
5510,0,603,205,0
5511,0,602,206,0
5512,0,602,206,0
5513,0,602,206,0
5514,0,601,207,0
5515,0,600,208,0
5516,0,597,211,0
5517,0,597,211,0
5518,0,598,210,0
5519,0,599,209,0
5520,0,597,211,0
5521,0,599,209,0
5522,0,600,208,0
5523,0,600,208,0
5524,0,601,207,0
5525,0,601,207,0
5526,0,600,208,0
5527,0,600,208,0
5528,0,600,208,0
5529,0,600,208,0
5530,0,603,205,0
5531,0,602,206,0
5532,0,602,206,0
5533,0,604,204,0
5534,0,603,205,0
5535,0,602,206,0
5536,0,603,205,0
5537,0,603,205,0
5538,0,602,206,0
5539,0,603,205,0
5540,0,605,203,0
5541,0,605,203,0
5542,0,604,204,0
5543,0,604,204,0
5544,0,604,204,0
5545,0,602,206,0
5546,0,601,207,0
5547,0,601,207,0
5548,0,600,208,0
5549,0,600,208,0
5550,0,601,207,0
5551,0,599,209,0
5552,0,599,209,0
5553,0,599,209,0
5554,0,598,210,0
5555,0,596,212,0
5556,0,595,213,0
5557,0,593,215,0
5558,0,594,214,0
5559,0,593,215,0
5560,0,593,215,0
5561,0,590,217,0
5562,0,590,217,0
5563,0,590,217,0
5564,0,589,218,0
5565,0,589,218,0
5566,0,589,218,0
5567,0,588,219,0
5568,0,588,219,0
5569,0,589,218,0
5570,0,589,218,0
5571,0,590,217,0
5572,0,591,216,0
5573,0,592,215,0
5574,0,593,214,0
5575,0,594,213,0
5576,0,596,211,0
5577,0,596,211,0
5578,0,597,210,0
